STEREOSET,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1. No Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT-3.5 norm,Ada,GPT-2,Ada - bias,GPT-3.5 bias,Distilbert Bias,Bert Bias,,,,,,,,,,,,,
,Gender,0.51,0.36,0.48,0.36,0.49,0.34,0.61,0.3,0.07,,,,,,,,,,,,,
,Race,0.50,0.26,0.41,0.33,0.33,0.34,0.82,0.36,0.09,,,,,,,,,,,,,
,Profession,0.48,0.23,0.42,0.35,0.39,0.31,0.67,0.35,0.08,,,,,,,,From,Legend,,,,
,Religion,0.53,0.27,0.37,0.29,0.27,0.38,0.68,0.35,0.08,,,,,,,,Yash,tick,each type individual evaluation done,,,
,,,,,,,,,,,,,,,,,,Yash,half-tick ,only half done,,,
,,intersentence_df_bert*,intersentence_distilbert*,intersentence_df_updated_gpt-3.5*,intersentence_df_updated_completion_ada*,intersentence_df_updated_gpt_2*,intersentence_df_updated_completion_ada_bias*,intersentence_df_updated_gpt-3.5_bias_2*,distilbert_stereo_bias,bert_stereo_bias,,,,,,,,,,,,,
,,tick,tick,tick,tick,tick,tick,tick,tick,tick,,,,,,,,,,,,,
,,,,bow_stereoset-noftnorm.ipynb,,,,bow_stereoset-noftbias.ipynb,,,,,,,,,,,,,,,
2. Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT 3.5 Train Normal,GPT 3.5 Train bias,Bert Bias,Distilbert Bias,,gpt-sysrole ft norm,gpt-sysrole ft bias,gpt-bow ft norm,gpt-bow ft bias,Bert - Positive Bias Addition ,Bert Bias - Positive Bias Addition ,DistilBert - Positive Bias Addition ,DistilBert Bias - Positive Bias Addition ,,,,,,,
,Gender,0.24,0.53,0.48,0.80,0.52,0.57,,0.44,0.75,0.47,0.68,0.1,0.55,0.46,0.53,,,,,,,
,Race,0.16,0.5,0.24,0.90,0.66,0.61,,0.24,0.87,0.22,0.86,0.17,0.56,0.49,0.5,,,,,,,
,Profession,0.19,0.55,0.35,0.86,0.63,0.61,,0.35,0.8,0.34,0.76,0.22,0.62,0.51,0.56,,,,,,,
,Religion,0.1,0.53,0.26,0.84,0.71,0.57,,0.27,0.74,0.27,0.84,0.14,0.53,0.48,0.5,,,,,,,
,,output_bert_ft,output_distilbert_ft,ft_norm,ft_bias,bert_ft_stereo_bias,distilbert_stereoset_ft_bias,,ft_norm_role,ft_bias_role,ft_norm_bow,ft_bias_bow,bert_ft_addition_of_positive_bias,bert_ft_bias_addition_of_positive_bias,distilbert_stereoset_ft_positive_bias_addition,distilbert_stereoset_ft_bias_addition_of_positive_bias,,,,,,,
,,tick,tick,x,x,tick,tick,,,,,,tick - most answers are unrelated,tick - most answers are unrelated,tick,tick,,,,,,,
3. Finetuning and Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,Finetuned on aug - T5,T5 - Bias,GPT 3.5 ft on aug ,Bert Bias w/ T5 aug,Distilbert Bias w/ T5 aug,,,,,,,,,,,,,,,
,Gender,0.32,0.60,0.48,0.69,0.46,0.61,0.54,,,,,,,,,,,,,,,
,Race,0.43,0.57,0.29,0.83,0.21,0.52,0.61,,,,,,,,,,,,,,,
,Profession,0.48,0.58,0.36,0.81,0.33,0.59,0.58,,,,,,,,,,,,,,,
,Religion,0.41,0.64,0.31,0.84,0.29,0.6,0.6,,,,,,,,,,,,,,,
,,output_bert_ft_aug,output_distilbert_stereoset_ft_aug,ft_norm_aug-t5,ft_on_aug-t5_bias_base,ft_norm_aug-gpt,bert_stereoset_ft_aug_bias,distilbert_stereoset_ft_aug_bias,,,,,,,,,,,,,,,
,,tick,tick,x,x,x,tick,tick,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4. Cross Eval,,Test stereoset data w/crows_pairs model,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Cross with GPT 3.5 w/T5 aug,Cross with GPT 3.5 Bias w/T5 aug,Cross w/GPT3.5 no aug - norm,Cross w/GPT3.5 no aug - bias,Bert ,Bert Bias,Bert w/ T5 aug,Bert w/ t5 aug bias,DistilBert ,DistilBert Bias,DistilBert w/ T5 aug,DistilBert w/ t5 aug bias,,,,,,,,,,
,gender,0.51,0.55,0.41,0.58,0.09,0.12,0.59,0.54,0.28,0.31,0.19,0.21,,,,,,,,,,
,race,0.21,0.83,0.12,0.89,0.11,0.15,0.53,0.53,0.62,0.61,0.48,0.47,,,,,,,,,,
,profession,0.34,0.67,0.28,0.72,0.1,0.13,0.53,0.53,0.43,0.45,0.26,0.25,,,,,,,,,,
,religion,0.23,0.72,0.16,0.74,0.05,0.05,0.55,0.62,0.57,0.59,0.43,0.45,,,,,,,,,,
,,ft_norm_base,ft_bias_base,ft_norm_base,ft_bias_base,bert_ft_crows_tested_stereoset,bert_ft_crows_tested_stereoset_bias,bert_ft_crows_tested_stereoset_aug,bert_ft_crows_tested_stereoset_aug_bias,distilbert_crow_ft_tested_stereoset,distilbert_crows_ft_tested_stereoset_bias,distilbert_crow_ft_tested_stereoset_aug,distilbert_crows_ft_tested_stereoset_aug_bias,,,,,,,,,,
,,x,x,x,x,tick - notes: gave most answers as unrelated,tick - notes: gave most answers as unrelated,tick,tick,tick,tick,"tick, notes:most are unrelated","tick, notes: most are unrelated",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5. Ran on Aug Data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,GPT-3.5 w/GPT3.5,GPT-3.5 w/GPT3.5 Bias,GPT 3.5 train original test aug,GPT 3.5 train original test aug bias,,,,,,,,,,,,,,,,,,
,gender,0.50,0.47,0.78,0.75,,,,,,,,,,,,,,,,,,
,race,0.66,0.65,0.77,0.81,,,,,,,,,,,,,,,,,,
,profession,0.62,0.54,0.76,0.78,,,,,,,,,,,,,,,,,,
,religion,0.72,0.64,0.73,0.74,,,,,,,,,,,,,,,,,,
,,int_df_gpt3.5_augment,int_df_gpt3.5_aug_bias,ft_norm_on_test-aug,ft_bias_aug,,,,,,,,,,,,,,,,,,
,,x,x,x,x,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CROWS-PAIR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1. No Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT-3.5,Ada,GPT3.5 Bias,Godel with Context,Ada bias,Bert Bias,Distilbert bias,,,,,,,,,,,,,
,age,0.46,0.40,0.24,0.25,0.56,0.41,0.24,0.63,0.36,,,,,,,,,,,,,
,disability,0.60,0.63,0.25,0.35,0.73,0.37,0.28,0.43,0.35,,,,,,,,,,,,,
,gender,0.47,0.52,0.21,0.31,0.60,0.50,0.28,0.57,0.49,,,,,,,,,,,,,
,nationality,0.57,0.47,0.36,0.31,0.75,0.42,0.30,0.56,0.43,,,,,,,,,,,,,
,physical-appearance,0.43,0.46,0.25,0.17,0.76,0.43,0.25,0.46,0.48,,,,,,,,,,,,,
,race-color,0.57,0.33,0.36,0.35,0.75,0.49,0.30,0.57,0.37,,,,,,,,,,,,,
,religion,0.39,0.31,0.39,0.36,0.79,0.53,0.30,0.44,0.29,,,,,,,,,,,,,
,sexual-orientation,0.77,0.55,0.40,0.31,0.76,0.54,0.31,0.64,0.77,,,,,,,,,,,,,
,socioeconomic,0.66,0.49,0.23,0.23,0.67,0.47,0.23,0.59,0.41,,,,,,,,,,,,,
,,bert_crows,distilbert_crows,gpt-3.5,ada,gpt-3.5_bias,godel_bias_w_context,ada_bias,ada_bias,distilbert_crows_bias,,,,,,,,,,,,,
,,tick,tick,,,,,,tick,tick,,,,,,,,,,,,,
2. Finetuning and No Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert,Distilbert,GPT-3.5 norm,GPT bias,Bert Bias,Distilbert Bias,,Bert Positive Bias BoW,Bert Bias Positive Bias BoW,Distilbert Positive Bias BoW,Distilbert Bias Positive Bias BoW,,,,,,,,,,,
,age,0.43,0.71,0.32,0.63,0.58,0.52,,0.58,0.35,,,,,,,,,,,,,
,disability,0.63,0.77,0.19,0.65,0.46,0.62,,0.44,0.5,,,,,,,,,,,,,
,gender,0.52,0.52,0.46,0.55,0.51,0.52,,0.52,0.52,,,,,,,,,,,,,
,nationality,0.58,0.76,0.26,0.75,0.67,0.70,,0.43,0.68,,,,,,,,,,,,,
,physical-appearance,0.47,0.80,0.25,0.75,0.44,0.42,,0.56,0.45,,,,,,,,,,,,,
,race-color,0.66,0.80,0.22,0.75,0.67,0.81,,0.49,0.68,,,,,,,,,,,,,
,religion,0.52,0.88,0.19,0.77,0.59,0.75,,0.8,0.49,,,,,,,,,,,,,
,sexual-orientation,0.49,0.80,0.24,0.70,0.50,0.84,,0.42,0.54,,,,,,,,,,,,,
,socioeconomic,0.62,0.60,0.28,0.61,0.72,0.70,,0.6,0.47,,,,,,,,,,,,,
,,output_bert_ft_crows,output_distibert_ft_crow,ft_norm,ft_bias_base*,bert_ft_crows_bias,distibert_ft_crow_bias,,bert_ft_crows_positive_bias (1),bert_ft_crows_bias_positive_bias,,,,,,,,,,,,,
,,tick,tick,,,tick,tick,,,,,,,,,,,,,,,,
3. Finetuning and Augmentation,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert w/ T5 aug,Distilbert w/ t5 aug,GPT 3.5 Ft on Aug T5 norm,GPT 3.5 Ft on Aug T5 bias,GPT 3.5 Ft on aug gpt,Bert bias w t5 aug,Distilbert bias w t5 aug,,,,,,,,,,,,,,,
,age,0.33,0.38,0.56,0.63,0.56,0.57,0.57,,,,,,,,,,,,,,,
,disability,0.67,0.63,0.33,0.65,0.62,0.46,0.56,,,,,,,,,,,,,,,
,gender,0.51,0.58,0.48,0.55,0.53,0.51,0.54,,,,,,,,,,,,,,,
,nationality,0.69,0.85,0.46,0.75,0.46,0.61,0.69,,,,,,,,,,,,,,,
,physical-appearance,0.58,0.62,0.35,0.75,0.47,0.55,0.65,,,,,,,,,,,,,,,
,race-color,0.7,0.81,0.33,0.75,0.51,0.69,0.8,,,,,,,,,,,,,,,
,religion,0.8,0.85,0.27,0.77,0.53,0.56,0.87,,,,,,,,,,,,,,,
,sexual-orientation,0.64,0.75,0.37,0.70,0.49,0.76,0.76,,,,,,,,,,,,,,,
,socioeconomic,0.66,0.7,0.55,0.61,0.51,0.49,0.67,,,,,,,,,,,,,,,
,,output_bert_ft_crows_aug,output_distibert_ft_crow_aug,ft_on_aug-t5_norm_base,ft_on_aug-t5_bias_base,ft_on_aug-gpt_norm_base,bert_ft_crows_aug_bias,distibert_ft_crow_aug_bias,,,,,,,,,,,,,,,
,,tick,tick,,,,tick,tick,,,,,,,,,,,,,,,
4. Stereoset on Crowspair,,crows_pairs data w/stereoset model,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Bert ft w/ t5,Bert w/ t5 bias,GPT-3.5 with FT with T5 ,GPT-3.5 with FT with T5 - bias,,Cross w/GPT3.5 no aug - norm,Cross w/GPT3.5 no aug - bias,Bert ft w/ t5 aug,Bert ft w/ t5 aug bias,DistilBert w/ t5,DistilBert w/ T5 bias,DistilBert w/ T5 aug,DistilBert w/ t5 aug bias,,GPT ft norm bow,GPT ft bias bow,GPT ft norm sysrole,GPT ft bias sysrole,Bert Positive Bias ,Bert Bias Positive Bias ,DistilBert Positive Bias ,DistilBert Bias Positive Bias 
,age,0.44,0.35,0.52,0.3,,0.35,0.78,0.39,0.34,0.35,0.35,0.35,0.35,,0,0.4430379747,0.4303797468,0.4936708861,0.53,0.48,0.32,0.37
,disability,0.56,0.48,0.44,0.37,,0.31,0.75,0.71,0.65,0.48,0.42,0.63,0.69,,0,0.6153846154,0.4423076923,0.7115384615,0.6,0.6,0.48,0.5
,gender,0.46,0.54,0.45,0.3,,0.43,0.7,0.56,0.51,0.51,0.53,0.56,0.59,,0.003937007874,0.4251968504,0.3818897638,0.5157480315,0.48,0.5,0.47,0.46
,nationality,0.41,0.5,0.45,0.3,,0.40,0.77,0.54,0.66,0.35,0.34,0.38,0.4,,0,0.701986755,0.4768211921,0.6688741722,0.47,0.46,0.32,0.36
,physical-appearance,0.58,0.49,0.45,0.67,,0.33,0.82,0.56,0.6,0.49,0.47,0.6,0.67,,0,0.6181818182,0.3090909091,0.7454545455,0.51,0.69,0.56,0.49
,race-color,0.58,0.51,0.35,0.45,,0.36,0.77,0.6,0.67,0.66,0.67,0.63,0.65,,0.001968503937,0.6692913386,0.3503937008,0.6811023622,0.64,0.62,0.37,0.48
,religion,0.74,0.71,0.30,0.43,,0.36,0.74,0.63,0.63,0.77,0.75,0.86,0.85,,0,0.6907216495,0.381443299,0.6494845361,0.47,0.51,0.65,0.28
,sexual-orientation,0.36,0.41,0.42,0.42,,0.51,0.84,0.59,0.59,0.53,0.58,0.76,0.74,,0,0.6447368421,0.4473684211,0.6315789474,0.66,0.58,0.58,0.45
,socioeconomic,0.52,0.61,0.42,0.43,,0.38,0.76,0.57,0.7,0.62,0.57,0.68,0.63,,0.006060606061,0.5454545455,0.3515151515,0.6606060606,0.45,0.46,0.76,0.41
,,output_bert_stereo_ft_test_crows,bert_stereo_ft_test_crows_bias,ft_norm_cross_t5,ft_on_aug-t5_bias_base_cross,,ft_norm_cross,ft_bias_base_cross,bert_stereo_ft_test_crows_aug,bert_stereo_ft_test_crows_aug_bias,distilbert_stereoset_ft_crows_test,distilbert_stereoset_ft_crows_test_bias,distilbert_stereoset_ft_crows_test_aug,distilbert_stereoset_ft_crows_test_bias_aug,,ft_norm_bow,ft_bias_bow,ft_norm_role,ft_bias_role,bert_stereo_ft_test_crows_positive_bias,bert_stereo_ft_test_crows_bias_positive_bias,distilbert_stereoset_ft_crows_test_positive_bias,distilbert_stereoset_ft_crows_test_bias_positive_bias
,,tick,tick,,,,,,tick,tick,tick,tick,tick,tick,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5. Ran on Aug Data,,,,,,,,,,,,,,,,,,,,,,,
,,GPT Ft Norm ran w/Aug,GPT Ft Bias ran w/Aug,GPT-3.5 bias aug,GPT-3.5 norm aug,,,,,,,,,,,,,,,,,,
,age,0.43,0.53,0.61,0.1954022989,,,,,,,,,,,,,,,,,,
,disability,0.54,0.48,0.57,0.3,,,,,,,,,,,,,,,,,,
,gender,0.46,0.57,0.51,0.1335877863,,,,,,,,,,,,,,,,,,
,nationality,0.48,0.61,0.69,0.2201257862,,,,,,,,,,,,,,,,,,
,physical-appearance,0.51,0.65,0.60,0.126984127,,,,,,,,,,,,,,,,,,
,race-color,0.41,0.61,0.68,0.1124031008,,,,,,,,,,,,,,,,,,
,religion,0.47,0.65,0.73,0.2476190476,,,,,,,,,,,,,,,,,,
,sexual-orientation,0.37,0.62,0.63,0.1785714286,,,,,,,,,,,,,,,,,,
,socioeconomic,0.54,0.51,0.56,0.226744186,,,,,,,,,,,,,,,,,,
,,ft_norm_aug,ft_bias_aug,gpt-3.5_augmented_bias,gpt-3.5_augmented,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,